Check_Ave,Date,Item_Count,Location,Sub-total
6.37,8/22/2017,939,THC,"1,469.50"
0,8/22/2017,,Lou's,0
0,8/22/2017,,Cellar,0
4.73,8/23/2017,253,8:15,703.18
7.97,8/23/2017,660,Tylers,"2,262.10"
1.88,8/23/2017,3014,HDC,"5,500.24"
6.74,8/23/2017,1366,THC,"1,908.56"
6.05,8/23/2017,375,Passport,"1,118.22"
8.5,8/23/2017,884,ETC,"3,088.39"
0.01,8/23/2017,1,Cellar,0.01
0,8/23/2017,,Lou's,0
8.41,8/23/2017,14,Post Office,109.24
16.96,8/24/2017,23,Post Office,303.91
6.94,8/24/2017,503,Tylers,"1,670.80"
0,8/24/2017,,Cellar,0
6.88,8/24/2017,1055,THC,"1,876.71"
0.9,8/24/2017,4044,HDC,"3,646.31"
9.52,8/24/2017,721,Passport,"2,603.23"
4.02,8/24/2017,306,8:15,762.06
7.01,8/24/2017,959,ETC,"3,179.57"
6.72,8/25/2017,420,Passport,"1,180.98"
6.36,8/25/2017,770,THC,"1,411.39"
3.83,8/25/2017,266,8:15,661.71
0.79,8/25/2017,3277,HDC,"2,597.14"
7.09,8/25/2017,573,Tylers,"2,117.24"
8.46,8/25/2017,1567,ETC,"5,365.45"
0,8/25/2017,,Cellar,0
0,8/25/2017,-1,Lou's,-0.01
21.11,8/25/2017,13,Post Office,253.34
0.46,8/26/2017,4442,HDC,"2,043.95"
8.35,8/26/2017,1929,ETC,"6,764.96"
8.95,8/27/2017,2398,ETC,"8,442.85"
7.9,8/27/2017,713,Tylers,"2,912.06"
0.53,8/27/2017,3823,HDC,"2,027.36"
24.32,8/28/2017,59,Post Office,"1,262.92"
0.52,8/28/2017,5022,HDC,"2,607.53"
3.81,8/28/2017,987,8:15,"2,594.94"
7.07,8/28/2017,1331,Tylers,"5,310.82"
7.09,8/28/2017,2237,ETC,"7,473.29"
6.85,8/28/2017,1572,Passport,"5,103.77"
7.7,8/28/2017,1247,THC,"2,168.13"
0,8/28/2017,3,Cellar,0
6.6,8/28/2017,158,Dean's Den,435.83
6.06,8/28/2017,798,Lou's,"2,595.15"
6.9,8/29/2017,2105,ETC,"7,077.53"
0,8/29/2017,12,Cellar,0
5.63,8/29/2017,123,Dean's Den,343.23
7.36,8/29/2017,1021,THC,"1,675.70"
6.66,8/29/2017,36,Post Office,239.45
3.95,8/29/2017,1261,8:15,"3,290.82"
7.05,8/29/2017,1270,Tylers,"4,973.08"
7.26,8/29/2017,1497,Passport,"4,754.77"
6.03,8/29/2017,880,Lou's,"2,936.35"
0.46,8/29/2017,4893,HDC,"2,294.82"
9.29,8/30/2017,36,Post Office,305.57
5.91,8/30/2017,811,Lou's,"2,618.56"
7.2,8/30/2017,1311,Tylers,"5,155.82"
3.96,8/30/2017,1325,8:15,"3,398.60"
0,8/30/2017,2,Cellar,0
0.54,8/30/2017,4755,HDC,"2,563.43"
5.95,8/30/2017,155,Dean's Den,439.91
6.58,8/30/2017,2230,ETC,"6,999.61"
6.91,8/30/2017,1725,Passport,"5,471.54"
6.4,8/30/2017,1392,THC,"1,873.56"
40.28,8/31/2017,62,Cellar,322.2
6.51,8/31/2017,2248,ETC,"7,109.40"
11.5,8/31/2017,1223,THC,"3,241.21"
5.13,8/31/2017,130,Dean's Den,358.72
9.31,8/31/2017,37,Post Office,341.41
7.23,8/31/2017,1331,Tylers,"5,154.93"
7.22,8/31/2017,1657,Passport,"5,259.45"
0.49,8/31/2017,4280,HDC,"2,159.06"
5.97,8/31/2017,878,Lou's,"2,720.64"
4.05,8/31/2017,1178,8:15,"3,101.08"
11.8,9/1/2017,44,Post Office,457.86
0.62,9/1/2017,3584,HDC,"2,236.41"
6.84,9/1/2017,328,Lou's,"1,046.41"
6.69,9/1/2017,1757,ETC,"5,477.86"
3.96,9/1/2017,657,8:15,"1,684.29"
14.93,9/1/2017,830,Cellar,"3,501.02"
6.68,9/1/2017,1029,THC,"1,993.55"
6.91,9/1/2017,1013,Tylers,"3,947.79"
7.38,9/1/2017,1278,Passport,"4,339.18"
0.45,9/2/2017,3189,HDC,"1,451.66"
6.93,9/2/2017,215,Passport,721.74
6.64,9/2/2017,1867,ETC,"5,717.25"
14.83,9/2/2017,1003,Cellar,"4,236.69"
4.2,9/2/2017,484,8:15,"1,287.90"
4.16,9/3/2017,1225,8:15,"3,383.99"
8.37,9/3/2017,875,Tylers,"3,639.30"
0.49,9/3/2017,3498,HDC,"1,693.79"
13.34,9/3/2017,730,Cellar,"3,056.23"
5.84,9/3/2017,168,Dean's Den,484.62
7.42,9/3/2017,2349,ETC,"7,492.84"
5.19,9/4/2017,183,Dean's Den,497.71
6.14,9/4/2017,1086,Lou's,"3,526.23"
3.86,9/4/2017,1645,8:15,"4,265.62"
0.37,9/4/2017,4505,HDC,"1,676.02"
7.04,9/4/2017,1197,Tylers,"4,847.92"
6.8,9/4/2017,2537,ETC,"7,900.41"
7.19,9/4/2017,1721,Passport,"5,591.28"
15.68,9/4/2017,668,Cellar,"2,726.26"
7.09,9/5/2017,1227,Tylers,"4,802.39"
0.37,9/5/2017,4534,HDC,"1,719.93"
7.57,9/5/2017,1046,THC,"1,776.48"
4.02,9/5/2017,1626,8:15,"4,178.56"
16.2,9/5/2017,635,Cellar,"2,902.53"
6.4,9/5/2017,2399,ETC,"7,182.31"
7.32,9/5/2017,1688,Passport,"5,542.03"
6.09,9/5/2017,164,Dean's Den,511.42
13.57,9/5/2017,83,Post Office,"1,000.44"
5.96,9/5/2017,966,Lou's,"3,061.77"
6.13,9/6/2017,1107,Lou's,"3,566.21"
6.27,9/6/2017,191,Dean's Den,557.84
8.64,9/6/2017,50,Post Office,401.87
6.54,9/6/2017,1300,THC,"1,814.31"
6.99,9/6/2017,1726,Passport,"5,623.63"
6.93,9/6/2017,1341,Tylers,"5,136.13"
0.46,9/6/2017,4349,HDC,"2,059.29"
14.55,9/6/2017,1098,Cellar,"5,039.25"
4.27,9/6/2017,1517,8:15,"4,073.47"
6.59,9/6/2017,2437,ETC,"7,446.87"
7.15,9/7/2017,1613,Passport,"5,218.67"
6.89,9/7/2017,1156,Tylers,"4,469.55"
6.1,9/7/2017,2626,ETC,"7,162.79"
3.95,9/7/2017,1252,8:15,"3,198.81"
6.89,9/7/2017,1019,THC,"1,850.77"
5.68,9/7/2017,32,Stadium West,108
0.55,9/7/2017,4340,HDC,"2,416.91"
5.61,9/7/2017,853,Lou's,"2,662.11"
14.37,9/7/2017,621,Cellar,"2,563.07"
6.17,9/7/2017,204,Dean's Den,566.92
11.54,9/7/2017,36,Post Office,378.97
5.74,9/8/2017,414,Lou's,"1,287.55"
4.13,9/8/2017,663,8:15,"1,744.41"
16.36,9/8/2017,30,Post Office,456.62
0.54,9/8/2017,3703,HDC,"2,023.20"
13.63,9/8/2017,725,Cellar,"2,963.67"
6.3,9/8/2017,2248,ETC,"6,780.93"
7.1,9/8/2017,1057,Tylers,"4,001.41"
6.96,9/8/2017,1402,Passport,"4,441.17"
6.66,9/8/2017,1008,THC,"1,802.19"
6.87,9/9/2017,1864,ETC,"6,117.93"
7.22,9/9/2017,406,Passport,"1,176.61"
14.47,9/9/2017,1024,Cellar,"4,204.41"
4.45,9/9/2017,359,8:15,"1,000.26"
0.62,9/9/2017,3089,HDC,"1,921.15"
4.19,9/10/2017,1344,8:15,"3,589.48"
8.82,9/10/2017,1006,Tylers,"4,187.55"
0.44,9/10/2017,3400,HDC,"1,475.67"
14.27,9/10/2017,922,Cellar,"3,690.58"
7.45,9/10/2017,2643,ETC,"8,308.62"
5.03,9/10/2017,160,Dean's Den,407.3
6.51,9/11/2017,2798,ETC,"8,684.92"
13.88,9/11/2017,584,Cellar,"2,272.60"
6.65,9/11/2017,1296,THC,"1,798.99"
6.59,9/11/2017,235,Dean's Den,691.27
9.83,9/11/2017,58,Post Office,529
4.03,9/11/2017,1917,8:15,"5,021.85"
7.3,9/11/2017,1375,Tylers,"5,314.60"
7.21,9/11/2017,1783,Passport,"5,759.19"
6.1,9/11/2017,1037,Lou's,"3,520.51"
0.47,9/11/2017,4511,HDC,"2,126.35"
11.91,9/12/2017,46,Post Office,487.7
6.21,9/12/2017,1104,Lou's,"3,681.12"
7.41,9/12/2017,1394,Tylers,"5,493.08"
7.17,9/12/2017,1579,Passport,"5,139.04"
17.64,9/12/2017,432,Cellar,"1,978.63"
0.39,9/12/2017,4407,HDC,"1,737.70"
4.16,9/12/2017,1804,8:15,"4,805.59"
6.41,9/12/2017,263,Dean's Den,755.68
6.1,9/12/2017,2766,ETC,"8,193.81"
6.79,9/12/2017,1067,THC,"1,719.93"
5.64,9/13/2017,208,Dean's Den,581.05
6.32,9/13/2017,1347,THC,"1,855.62"
0.37,9/13/2017,4259,HDC,"1,599.07"
9.82,9/13/2017,40,Post Office,362.38
0,9/13/2017,,Robins Cntr West,0
7.14,9/13/2017,1399,Tylers,"5,362.88"
7.04,9/13/2017,1839,Passport,"6,120.95"
0,9/13/2017,,Stadium West,0
6.4,9/13/2017,2758,ETC,"8,305.04"
5.9,9/13/2017,1088,Lou's,"3,541.30"
14.02,9/13/2017,925,Cellar,"3,908.69"
4.12,9/13/2017,1837,8:15,"4,809.57"
0.59,9/14/2017,4347,HDC,"2,557.50"
4.25,9/14/2017,1364,8:15,"3,657.63"
5.91,9/14/2017,2406,ETC,"7,212.35"
5.71,9/14/2017,975,Lou's,"2,917.78"
6.28,9/14/2017,992,THC,"1,713.72"
14.73,9/14/2017,540,Cellar,"2,386.39"
5.12,9/14/2017,241,Dean's Den,665.5
7.07,9/14/2017,1296,Tylers,"4,964.06"
7.49,9/14/2017,1671,Passport,"5,465.61"
