Check_Ave,Date,Item_Count,Location,Sub-total
5.13,8/31/2017,130,Dean's Den,358.72
9.31,8/31/2017,37,Post Office,341.41
7.23,8/31/2017,1331,Tylers,"5,154.93"
7.22,8/31/2017,1657,Passport,"5,259.45"
5.97,8/31/2017,878,Lou's,"2,720.64"
4.05,8/31/2017,1178,8:15,"3,101.08"
11.8,9/1/2017,44,Post Office,457.86
6.84,9/1/2017,328,Lou's,"1,046.41"
6.69,9/1/2017,1757,ETC,"5,477.86"
3.96,9/1/2017,657,8:15,"1,684.29"
14.93,9/1/2017,830,Cellar,"3,501.02"
6.91,9/1/2017,1013,Tylers,"3,947.79"
7.38,9/1/2017,1278,Passport,"4,339.18"
6.93,9/2/2017,215,Passport,721.74
6.64,9/2/2017,1867,ETC,"5,717.25"
14.83,9/2/2017,1003,Cellar,"4,236.69"
4.2,9/2/2017,484,8:15,"1,287.90"
4.16,9/3/2017,1225,8:15,"3,383.99"
8.37,9/3/2017,875,Tylers,"3,639.30"
13.34,9/3/2017,730,Cellar,"3,056.23"
5.84,9/3/2017,168,Dean's Den,484.62
7.42,9/3/2017,2349,ETC,"7,492.84"
5.19,9/4/2017,183,Dean's Den,497.71
6.14,9/4/2017,1086,Lou's,"3,526.23"
3.86,9/4/2017,1645,8:15,"4,265.62"
7.04,9/4/2017,1197,Tylers,"4,847.92"
6.8,9/4/2017,2537,ETC,"7,900.41"
7.19,9/4/2017,1721,Passport,"5,591.28"
15.68,9/4/2017,668,Cellar,"2,726.26"
7.09,9/5/2017,1227,Tylers,"4,802.39"
4.02,9/5/2017,1626,8:15,"4,178.56"
16.2,9/5/2017,635,Cellar,"2,902.53"
6.4,9/5/2017,2399,ETC,"7,182.31"
7.32,9/5/2017,1688,Passport,"5,542.03"
6.09,9/5/2017,164,Dean's Den,511.42
13.57,9/5/2017,83,Post Office,"1,000.44"
5.96,9/5/2017,966,Lou's,"3,061.77"
6.13,9/6/2017,1107,Lou's,"3,566.21"
6.27,9/6/2017,191,Dean's Den,557.84
8.64,9/6/2017,50,Post Office,401.87
6.99,9/6/2017,1726,Passport,"5,623.63"
6.93,9/6/2017,1341,Tylers,"5,136.13"
14.55,9/6/2017,1098,Cellar,"5,039.25"
4.27,9/6/2017,1517,8:15,"4,073.47"
6.59,9/6/2017,2437,ETC,"7,446.87"
7.15,9/7/2017,1613,Passport,"5,218.67"
6.89,9/7/2017,1156,Tylers,"4,469.55"
6.1,9/7/2017,2626,ETC,"7,162.79"
3.95,9/7/2017,1252,8:15,"3,198.81"
5.68,9/7/2017,32,Concessions,108
5.61,9/7/2017,853,Lou's,"2,662.11"
14.37,9/7/2017,621,Cellar,"2,563.07"
6.17,9/7/2017,204,Dean's Den,566.92
11.54,9/7/2017,36,Post Office,378.97
5.74,9/8/2017,414,Lou's,"1,287.55"
4.13,9/8/2017,663,8:15,"1,744.41"
16.36,9/8/2017,30,Post Office,456.62
13.63,9/8/2017,725,Cellar,"2,963.67"
6.3,9/8/2017,2248,ETC,"6,780.93"
7.1,9/8/2017,1057,Tylers,"4,001.41"
6.96,9/8/2017,1402,Passport,"4,441.17"
6.87,9/9/2017,1864,ETC,"6,117.93"
7.22,9/9/2017,406,Passport,"1,176.61"
14.47,9/9/2017,1024,Cellar,"4,204.41"
4.45,9/9/2017,359,8:15,"1,000.26"
4.19,9/10/2017,1344,8:15,"3,589.48"
8.82,9/10/2017,1006,Tylers,"4,187.55"
14.27,9/10/2017,922,Cellar,"3,690.58"
7.45,9/10/2017,2643,ETC,"8,308.62"
5.03,9/10/2017,160,Dean's Den,407.3
6.51,9/11/2017,2798,ETC,"8,684.92"
13.88,9/11/2017,584,Cellar,"2,272.60"
6.59,9/11/2017,235,Dean's Den,691.27
9.83,9/11/2017,58,Post Office,529
4.03,9/11/2017,1917,8:15,"5,021.85"
7.3,9/11/2017,1375,Tylers,"5,314.60"
7.21,9/11/2017,1783,Passport,"5,759.19"
6.1,9/11/2017,1037,Lou's,"3,520.51"
11.91,9/12/2017,46,Post Office,487.7
6.21,9/12/2017,1104,Lou's,"3,681.12"
7.41,9/12/2017,1394,Tylers,"5,493.08"
7.17,9/12/2017,1579,Passport,"5,139.04"
17.64,9/12/2017,432,Cellar,"1,978.63"
4.16,9/12/2017,1804,8:15,"4,805.59"
6.41,9/12/2017,263,Dean's Den,755.68
6.1,9/12/2017,2766,ETC,"8,193.81"
5.64,9/13/2017,208,Dean's Den,581.05
9.82,9/13/2017,40,Post Office,362.38
0,9/13/2017,,Concessions,0
7.14,9/13/2017,1399,Tylers,"5,362.88"
7.04,9/13/2017,1839,Passport,"6,120.95"
0,9/13/2017,,Concessions,0
6.4,9/13/2017,2758,ETC,"8,305.04"
5.9,9/13/2017,1088,Lou's,"3,541.30"
14.02,9/13/2017,925,Cellar,"3,908.69"
4.12,9/13/2017,1837,8:15,"4,809.57"
4.25,9/14/2017,1364,8:15,"3,657.63"
5.91,9/14/2017,2406,ETC,"7,212.35"
5.71,9/14/2017,975,Lou's,"2,917.78"
14.73,9/14/2017,540,Cellar,"2,386.39"
5.12,9/14/2017,241,Dean's Den,665.5
7.07,9/14/2017,1296,Tylers,"4,964.06"
7.49,9/14/2017,1671,Passport,"5,465.61"
13.68,9/14/2017,28,Post Office,341.77
6.58,9/15/2017,381,Lou's,"1,257.79"
7.59,9/15/2017,32,Post Office,188.85
4.53,9/15/2017,758,8:15,"1,938.59"
6.99,9/15/2017,1107,Tylers,"4,138.86"
5.63,9/15/2017,1729,ETC,"5,061.27"
0,9/15/2017,,Concessions,0
17.14,9/15/2017,809,Cellar,"3,403.69"
7.92,9/15/2017,1535,Passport,"4,891.74"
5.12,9/16/2017,462,8:15,"1,242.05"
7.9,9/16/2017,2907,Concessions,"10,093.00"
14.42,9/16/2017,720,Cellar,"2,865.01"
8.58,9/16/2017,657,Passport,"1,833.03"
7.19,9/16/2017,2196,Concessions,"7,519.00"
6.09,9/16/2017,1342,ETC,"4,136.67"
6.41,9/17/2017,196,Dean's Den,538.7
8.35,9/17/2017,127,Concessions,426
4.19,9/17/2017,1449,8:15,"3,871.07"
7.1,9/17/2017,2229,ETC,"6,881.01"
7.92,9/17/2017,690,Tylers,"2,747.22"
14.07,9/17/2017,787,Cellar,"3,242.04"
7.1,9/18/2017,1335,Tylers,"5,256.97"
7.2,9/18/2017,1725,Passport,"5,832.41"
6.26,9/18/2017,2527,ETC,"7,743.86"
4.04,9/18/2017,1924,8:15,"5,008.93"
14.54,9/18/2017,445,Cellar,"1,999.47"
5.91,9/18/2017,283,Dean's Den,761.79
12.72,9/18/2017,39,Post Office,469.94
6.17,9/18/2017,1156,Lou's,"3,821.93"
0,9/18/2017,,Concessions,0
0,9/18/2017,,Concessions,0
5.58,9/19/2017,1041,Lou's,"3,406.91"
1,9/19/2017,1,Concessions,1
6.48,9/19/2017,45,Post Office,264.51
7.59,9/19/2017,1594,Passport,"5,719.52"
14.38,9/19/2017,471,Cellar,"1,946.07"
6.96,9/19/2017,1201,Tylers,"4,617.77"
5.43,9/19/2017,223,Dean's Den,591.4
6.16,9/19/2017,2389,ETC,"7,415.42"
4.01,9/19/2017,1941,8:15,"5,071.24"
7.73,9/20/2017,2340,Passport,"8,014.86"
7.49,9/20/2017,2824,Tylers,"10,968.26"
6.19,9/20/2017,1069,ETC,"3,114.00"
4.23,9/20/2017,2182,8:15,"5,752.79"
6.18,9/20/2017,1260,Lou's,"4,137.49"
