STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",11/16/2017,9.4,,0,0,0,53,65,41,,300,290,19.9,25.9,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",11/17/2017,5.14,,0,0,0,46,55,32,,320,350,15,19.9,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",11/18/2017,12.97,,0,0,0,47,62,32,,190,200,25.9,33.1,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",11/19/2017,16.55,,0.01,0,0,61,66,39,,310,210,29.1,40,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",11/20/2017,5.59,,0,0,0,43,54,33,,270,260,13,17,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",11/21/2017,7.83,,0.01,0,0,45,62,34,,190,190,16.1,19.9,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",11/22/2017,10.07,,0.04,0,0,55,63,36,,330,340,21.9,28,1,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",11/23/2017,3.36,,0,0,0,38,45,28,,30,360,16.1,21,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",11/24/2017,1.57,,0,0,0,37,56,26,,180,280,8.1,10.1,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",11/25/2017,6.93,,0,0,0,45,69,29,,220,220,19.9,23,1,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",11/26/2017,4.25,,0,0,0,50,59,34,,350,340,15,19,1,,,,,,1,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",11/27/2017,2.68,,0,0,0,44,62,29,,230,230,12.1,13,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",11/28/2017,3.58,,0,0,0,46,63,32,,170,170,15,21,,,,,,,,
