Date,Location,Check_Ave,Sales,Item_Count,Year
9/1,Cellar,14.93,"3,501.02",830,1718
9/1,Tylers,6.91,"3,947.79",1013,1718
9/1,Passport,7.38,"4,339.18",1278,1718
9/2,Passport,6.93,721.74,215,1718
9/2,ETC,6.64,"5,717.25",1867,1718
9/2,Cellar,14.83,"4,236.69",1003,1718
9/2,8:15,4.2,"1,287.90",484,1718
9/3,8:15,4.16,"3,383.99",1225,1718
9/3,Tylers,8.37,"3,639.30",875,1718
9/3,Cellar,13.34,"3,056.23",730,1718
9/3,Dean's Den,5.84,484.62,168,1718
9/3,ETC,7.42,"7,492.84",2349,1718
9/4,Dean's Den,5.19,497.71,183,1718
9/4,Lou's,6.14,"3,526.23",1086,1718
9/4,8:15,3.86,"4,265.62",1645,1718
9/4,Tylers,7.04,"4,847.92",1197,1718
9/4,ETC,6.8,"7,900.41",2537,1718
9/4,Passport,7.19,"5,591.28",1721,1718
9/4,Cellar,15.68,"2,726.26",668,1718
9/5,Tylers,7.09,"4,802.39",1227,1718
9/5,8:15,4.02,"4,178.56",1626,1718
9/5,Cellar,16.2,"2,902.53",635,1718
9/5,ETC,6.4,"7,182.31",2399,1718
9/5,Passport,7.32,"5,542.03",1688,1718
9/5,Dean's Den,6.09,511.42,164,1718
9/5,Post Office,13.57,"1,000.44",83,1718
9/5,Lou's,5.96,"3,061.77",966,1718
9/6,Lou's,6.13,"3,566.21",1107,1718
9/6,Dean's Den,6.27,557.84,191,1718
9/6,Post Office,8.64,401.87,50,1718
9/6,Passport,6.99,"5,623.63",1726,1718
9/6,Tylers,6.93,"5,136.13",1341,1718
9/6,Cellar,14.55,"5,039.25",1098,1718
9/6,8:15,4.27,"4,073.47",1517,1718
9/6,ETC,6.59,"7,446.87",2437,1718
9/7,Passport,7.15,"5,218.67",1613,1718
9/7,Tylers,6.89,"4,469.55",1156,1718
9/7,ETC,6.1,"7,162.79",2626,1718
9/7,8:15,3.95,"3,198.81",1252,1718
9/7,Concessions,5.68,108,32,1718
9/7,Lou's,5.61,"2,662.11",853,1718
9/7,Cellar,14.37,"2,563.07",621,1718
9/7,Dean's Den,6.17,566.92,204,1718
9/7,Post Office,11.54,378.97,36,1718
9/8,Lou's,5.74,"1,287.55",414,1718
9/8,8:15,4.13,"1,744.41",663,1718
9/8,Post Office,16.36,456.62,30,1718
9/8,Cellar,13.63,"2,963.67",725,1718
9/8,ETC,6.3,"6,780.93",2248,1718
9/8,Tylers,7.1,"4,001.41",1057,1718
9/8,Passport,6.96,"4,441.17",1402,1718
9/9,ETC,6.87,"6,117.93",1864,1718
9/9,Passport,7.22,"1,176.61",406,1718
9/9,Cellar,14.47,"4,204.41",1024,1718
9/9,8:15,4.45,"1,000.26",359,1718
9/10,8:15,4.19,"3,589.48",1344,1718
9/10,Tylers,8.82,"4,187.55",1006,1718
9/10,Cellar,14.27,"3,690.58",922,1718
9/10,ETC,7.45,"8,308.62",2643,1718
9/10,Dean's Den,5.03,407.3,160,1718
9/11,ETC,6.51,"8,684.92",2798,1718
9/11,Cellar,13.88,"2,272.60",584,1718
9/11,Dean's Den,6.59,691.27,235,1718
9/11,Post Office,9.83,529,58,1718
9/11,8:15,4.03,"5,021.85",1917,1718
9/11,Tylers,7.3,"5,314.60",1375,1718
9/11,Passport,7.21,"5,759.19",1783,1718
9/11,Lou's,6.1,"3,520.51",1037,1718
9/12,Post Office,11.91,487.7,46,1718
9/12,Lou's,6.21,"3,681.12",1104,1718
9/12,Tylers,7.41,"5,493.08",1394,1718
9/12,Passport,7.17,"5,139.04",1579,1718
9/12,Cellar,17.64,"1,978.63",432,1718
9/12,8:15,4.16,"4,805.59",1804,1718
9/12,Dean's Den,6.41,755.68,263,1718
9/12,ETC,6.1,"8,193.81",2766,1718
9/13,Dean's Den,5.64,581.05,208,1718
9/13,Post Office,9.82,362.38,40,1718
9/13,Concessions,0,0,,1718
9/13,Tylers,7.14,"5,362.88",1399,1718
9/13,Passport,7.04,"6,120.95",1839,1718
9/13,Concessions,0,0,,1718
9/13,ETC,6.4,"8,305.04",2758,1718
9/13,Lou's,5.9,"3,541.30",1088,1718
9/13,Cellar,14.02,"3,908.69",925,1718
9/13,8:15,4.12,"4,809.57",1837,1718
9/14,8:15,4.25,"3,657.63",1364,1718
9/14,ETC,5.91,"7,212.35",2406,1718
9/14,Lou's,5.71,"2,917.78",975,1718
9/14,Cellar,14.73,"2,386.39",540,1718
9/14,Dean's Den,5.12,665.5,241,1718
9/14,Tylers,7.07,"4,964.06",1296,1718
9/14,Passport,7.49,"5,465.61",1671,1718
9/14,Post Office,13.68,341.77,28,1718
9/15,Lou's,6.58,"1,257.79",381,1718
9/15,Post Office,7.59,188.85,32,1718
9/15,8:15,4.53,"1,938.59",758,1718
9/15,Tylers,6.99,"4,138.86",1107,1718
9/15,ETC,5.63,"5,061.27",1729,1718
9/15,Concessions,0,0,,1718
9/15,Cellar,17.14,"3,403.69",809,1718
9/15,Passport,7.92,"4,891.74",1535,1718
9/16,8:15,5.12,"1,242.05",462,1718
9/16,Concessions,7.9,"10,093.00",2907,1718
9/16,Cellar,14.42,"2,865.01",720,1718
9/16,Passport,8.58,"1,833.03",657,1718
9/16,Concessions,7.19,"7,519.00",2196,1718
9/16,ETC,6.09,"4,136.67",1342,1718
9/17,Dean's Den,6.41,538.7,196,1718
9/17,Concessions,8.35,426,127,1718
9/17,8:15,4.19,"3,871.07",1449,1718
9/17,ETC,7.1,"6,881.01",2229,1718
9/17,Tylers,7.92,"2,747.22",690,1718
9/17,Cellar,14.07,"3,242.04",787,1718
9/18,Tylers,7.1,"5,256.97",1335,1718
9/18,Passport,7.2,"5,832.41",1725,1718
9/18,ETC,6.26,"7,743.86",2527,1718
9/18,8:15,4.04,"5,008.93",1924,1718
9/18,Cellar,14.54,"1,999.47",445,1718
9/18,Dean's Den,5.91,761.79,283,1718
9/18,Post Office,12.72,469.94,39,1718
9/18,Lou's,6.17,"3,821.93",1156,1718
9/18,Concessions,0,0,,1718
9/18,Concessions,0,0,,1718
9/19,Lou's,5.58,"3,406.91",1041,1718
9/19,Concessions,1,1,1,1718
9/19,Post Office,6.48,264.51,45,1718
9/19,Passport,7.59,"5,719.52",1594,1718
9/19,Cellar,14.38,"1,946.07",471,1718
9/19,Tylers,6.96,"4,617.77",1201,1718
9/19,Dean's Den,5.43,591.4,223,1718
9/19,ETC,6.16,"7,415.42",2389,1718
9/19,8:15,4.01,"5,071.24",1941,1718
9/20,Passport,7.73,"8,014.86",2340,1718
9/20,Tylers,7.49,"10,968.26",2824,1718
9/20,ETC,6.19,"3,114.00",1069,1718
9/20,8:15,4.23,"5,752.79",2182,1718
9/20,Lou's,6.18,"4,137.49",1260,1718
9/20,Cellar,14.84,"4,613.37",1044,1718
9/20,Dean's Den,5.82,862.01,295,1718
9/20,Post Office,1.41,8.43,8,1718
9/21,Post Office,12.03,503.83,46,1718
9/21,8:15,4.19,"4,128.19",1567,1718
9/21,Lou's,5.73,"3,181.88",956,1718
9/21,Tylers,7.4,"5,538.68",1404,1718
9/21,ETC,6.13,"7,442.79",2495,1718
9/21,Concessions,5.21,146,44,1718
9/21,Cellar,13.78,"2,815.29",715,1718
9/21,Dean's Den,5.07,816.48,286,1718
9/21,Passport,7.31,"5,651.75",1740,1718
9/22,Cellar,14.86,"1,961.07",511,1718
9/22,Concessions,0,0,,1718
9/22,ETC,5.92,"5,710.81",2009,1718
9/22,Passport,7.61,"4,862.25",1466,1718
9/22,Post Office,14.51,332.07,24,1718
9/22,Tylers,7.69,"4,881.11",1257,1718
9/22,Lou's,5.77,"1,411.47",446,1718
9/22,8:15,3.99,"1,753.43",710,1718
9/23,Concessions,8.11,"8,309.00",2331,1718
9/23,Concessions,8.5,"11,285.00",3140,1718
9/23,Cellar,13.77,"3,667.12",909,1718
9/23,8:15,4.3,"1,267.24",471,1718
9/23,Passport,7.4,"1,207.06",381,1718
9/23,ETC,6.68,"4,883.19",1500,1718
9/24,Cellar,14.73,"3,250.72",754,1718
9/24,Dean's Den,5.55,721.98,256,1718
9/24,ETC,6.71,"7,145.24",2320,1718
9/24,Tylers,8.06,"3,388.02",829,1718
9/24,8:15,4.16,"4,692.44",1798,1718
9/25,Post Office,7.94,316,39,1718
9/25,Tylers,7.26,"5,189.93",1302,1718
9/25,Lou's,5.96,"3,393.66",994,1718
9/25,Cellar,14.27,"2,052.55",484,1718
9/25,Passport,7.26,"5,803.98",1894,1718
9/25,ETC,6.31,"8,268.90",2801,1718
